OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
41112,2016,CA,CDF,SLU,CHIMNEY,008948,2016/08/13 00:00:00+00,2016/09/09 00:00:00+00,46235,46233.91796875,1,284621239.679811,135850.097552489
41136,2016,CA,CDF,FKU,MINERAL,011358,2016/08/08 00:00:00+00,2016/08/19 00:00:00+00,7050,6790.29296875,1,42224837.1469984,40816.0311054877
41151,2016,CA,CDF,BEU,SOBERANES,003422,2016/07/22 00:00:00+00,2016/10/13 00:00:00+00,132127,132104.28125,1,825293496.995786,470055.23481746
41219,2016,CA,BLM,CND,ERSKINE,001415,2016/06/23 00:00:00+00,2016/06/30 00:00:00+00,48007,48008.3515625,1,294304307.004111,186583.036955336
41250,2016,CA,USF,BDF,PILOT,010205,2016/08/07 00:00:00+00,,8110,8110.85498047,1,48226403.3772502,52377.6092900271
41251,2016,CA,USF,BDF,BLUE CUT,010468,2016/08/16 00:00:00+00,2016/08/26 00:00:00+00,36274,36266.6953125,1,215722539.079901,157079.384335763
41254,2016,CA,USF,ENF,TRAILHEAD,015200,2016/06/28 00:00:00+00,2016/11/08 00:00:00+00,5646,5644.68017578,1,37835129.3915666,38559.9988475948
41257,2016,CA,USF,INF,OWENS RIVER,001763,2016/09/17 00:00:00+00,2016/11/18 00:00:00+00,5443,5461.39208984,1,35401553.8204974,61696.1111070233
41262,2016,CA,USF,SQF,CEDAR,002595,2016/08/16 00:00:00+00,2016/08/16 00:00:00+00,29193,29100.55859375,1,179369477.889372,127541.842595852
41279,2016,CA,USF,ANF,SAND,003008,2016/07/22 00:00:00+00,2016/08/07 00:00:00+00,41432,41382.859375,1,246512875.667682,121359.962379308
