,date,columns,crs
214,2006-03-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
215,2006-03-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
216,2006-03-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
217,2006-03-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
218,2006-03-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
219,2006-03-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
220,2006-03-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
221,2006-03-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
222,2006-03-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
223,2006-03-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
224,2006-03-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
225,2006-03-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
226,2006-03-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
227,2006-03-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
228,2006-03-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
229,2006-03-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
230,2006-03-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
231,2006-03-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
232,2006-03-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
233,2006-03-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
234,2006-03-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
235,2006-03-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
236,2006-04-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
237,2006-04-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
238,2006-04-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
239,2006-04-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
240,2006-04-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
241,2006-04-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
242,2006-04-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
243,2006-04-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
244,2006-04-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
245,2006-04-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
246,2006-04-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
247,2006-04-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
248,2006-04-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
249,2006-04-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
250,2006-04-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
251,2006-04-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
252,2006-04-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
253,2006-04-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
254,2006-04-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
255,2006-04-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
256,2006-04-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
257,2006-04-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
258,2006-04-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
259,2006-04-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
260,2006-04-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
261,2006-04-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
262,2006-04-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
263,2006-04-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
264,2006-04-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
265,2006-05-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
266,2006-05-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
267,2006-05-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
268,2006-05-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
269,2006-05-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
270,2006-05-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
271,2006-05-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
272,2006-05-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
273,2006-05-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
274,2006-05-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
275,2006-05-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
276,2006-05-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
277,2006-05-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
278,2006-05-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
279,2006-05-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
280,2006-05-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
281,2006-05-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
282,2006-05-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
283,2006-05-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
284,2006-05-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
285,2006-05-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
286,2006-05-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
287,2006-05-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
288,2006-05-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
289,2006-05-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
290,2006-05-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
291,2006-05-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
292,2006-05-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
293,2006-05-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
294,2006-05-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
295,2006-05-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
296,2006-06-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
297,2006-06-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
298,2006-06-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
299,2006-06-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
300,2006-06-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
301,2006-06-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
302,2006-06-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
303,2006-06-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
304,2006-06-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
305,2006-06-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
306,2006-06-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
307,2006-06-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
308,2006-06-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
309,2006-06-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
310,2006-06-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
311,2006-06-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
312,2006-06-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
313,2006-06-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
314,2006-06-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
315,2006-06-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
316,2006-06-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
317,2006-06-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
318,2006-06-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
319,2006-06-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
320,2006-06-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
321,2006-06-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
322,2006-06-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
323,2006-06-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
324,2006-06-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
325,2006-06-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
326,2006-07-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
327,2006-07-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
328,2006-07-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
329,2006-07-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
330,2006-07-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
331,2006-07-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
332,2006-07-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
333,2006-07-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
334,2006-07-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
335,2006-07-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
